,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Male Fantasy","Billie Eilish",1638949,https://open.spotify.com/track/4ak9GGe6afmi2HbxEjvhIC
56,"Poblado - Remix","J Balvin",1630986,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
57,"Therefore I Am","Billie Eilish",1617465,https://open.spotify.com/track/20R4HfKloPKgXDqU7UKk3x
58,"jealousy, jealousy","Olivia Rodrigo",1605812,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
59,"Everybody Dies","Billie Eilish",1602013,https://open.spotify.com/track/5jhBwnqzNNrENXnYrAdoCe
60,Dynamite,BTS,1583345,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
61,"The Business",Tiësto,1582740,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
62,"You Right","Doja Cat",1558378,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
63,"Tiroteo - Remix","Marc Seguí",1553522,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
64,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,1516527,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
65,"Mood (feat. iann dior)",24kGoldn,1481384,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
66,"NOT SOBER (feat. Polo G & Stunna Gambino)","The Kid LAROI",1454254,https://open.spotify.com/track/1JXBNvlDEl2epKSJ9EOgKX
67,"Love Tonight - Edit",Shouse,1449867,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
68,Sobrio,Maluma,1447812,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
69,2055,"Sleepy Hallow",1446528,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
70,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1426176,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
71,Rasputin,Majestic,1423607,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
72,"Fiel - Remix",Wisin,1385684,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
73,"Over The Top (feat. Drake)",Smiley,1376192,https://open.spotify.com/track/3yaYgjEFkRw3PVjW9mV1TO
74,"Nicky Jam: Bzrp Music Sessions, Vol. 41",Bizarrap,1354459,https://open.spotify.com/track/03LfOYi0icz4souspZVVhq
75,Freaks,"Surf Curse",1344200,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
76,"Your Love (9PM)",ATB,1343458,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
77,Run,OneRepublic,1343333,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
78,"Build a Bitch","Bella Poarch",1333148,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
79,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1317933,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
80,"Don't Start Now","Dua Lipa",1303798,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
81,Loco,"Justin Quiles",1298671,https://open.spotify.com/track/6PDlkWmrq2ZKiUuFt2aQsH
82,"Save Your Tears","The Weeknd",1295589,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
83,2/Catorce,"Rauw Alejandro",1289664,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
84,París,Ingratax,1285074,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
85,"Meu Pedaço de Pecado","João Gomes",1277421,https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6
86,"Heartbreak Anniversary",Giveon,1264981,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
87,Woman,"Doja Cat",1259011,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
88,"Thot Shit","Megan Thee Stallion",1254544,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
89,"Someone You Loved","Lewis Capaldi",1244391,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
90,brutal,"Olivia Rodrigo",1226209,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
91,"Sweater Weather","The Neighbourhood",1225709,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
92,Dinero,"Trinidad Cardona",1181629,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
93,YaMeFui,Bizarrap,1167914,https://open.spotify.com/track/42ahuAFlYGjIGBpVdHcLij
94,"EL MAKINON","KAROL G",1153633,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
95,"Dance Monkey","Tones And I",1138344,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
96,"Head & Heart (feat. MNEK)","Joel Corry",1137015,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
97,"Love Again","Dua Lipa",1121137,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
98,"ZITTI E BUONI",Måneskin,1119067,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
99,"In Da Getto","J Balvin",1118437,https://open.spotify.com/track/63aj87TQG6F3RVO5nbG2VQ
